,search,visits,guests,clicks,active,costs,predictions
0,002 работа в такси,1,1,1,0,"96,76",работа такси !2 !2 -!в
1,1 год стажа москве какой такси можно работать,2,2,1,0,"50,923",[как работать в такси] -какой -можно
2,1 программа для водителя где все службы такси,1,1,1,0,"53,932",водитель +в такси программа
3,1234 taxisaturn ru скачать программу бесплатно для водителей ред такси,2,1,2,0,"94,776",[red такси для водителей скачать] -ред
4,19 тмп москва работа вакансии,1,1,1,0,"58,492","""вакансия в такси Москва"""
5,2 я хуторская такси работа,2,2,1,0,"36,845","""работа в такси хорошая"""
6,20 таксомоторный парк работа в такси,1,1,1,1,"89,433",[мобил такси работа таксистом]
7,2017 москва зарплата водителя автобуса,1,1,1,0,"39,529","""водитель в такси зарплата"""
8,2018 год авито ру москва вакансия,2,2,1,0,"24,111",водитель вакансия авито
9,2018 год подработка в москве,1,1,1,0,"60,169",подработка время Москва
